Subject,MatPath,ErrorLoading,TimePoints,RawROIs,RawROIsMatchExpected,NaNsCount,NaNsPct,ZerosCount,ZerosPct,NullChannelsCount,NullChannelsPct
053_S_2357,ROISignals_053_S_2357.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
053_S_2396,ROISignals_053_S_2396.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
053_S_4557,ROISignals_053_S_4557.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
053_S_4578,ROISignals_053_S_4578.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
053_S_4661,ROISignals_053_S_4661.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
053_S_4813,ROISignals_053_S_4813.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
053_S_5070,ROISignals_053_S_5070.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
053_S_5208,ROISignals_053_S_5208.mat,False,140,170,True,560,2.3529411764705883,0,0.0,0,0.0
053_S_6598,ROISignals_053_S_6598.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
053_S_6861,ROISignals_053_S_6861.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
053_S_7086,ROISignals_053_S_7086.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
053_S_7109,ROISignals_053_S_7109.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
057_S_6746,ROISignals_057_S_6746.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
057_S_6869,ROISignals_057_S_6869.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
068_S_2184,ROISignals_068_S_2184.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
068_S_2187,ROISignals_068_S_2187.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
068_S_2315,ROISignals_068_S_2315.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
068_S_4061,ROISignals_068_S_4061.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
068_S_4067,ROISignals_068_S_4067.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
068_S_4332,ROISignals_068_S_4332.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
068_S_4431,ROISignals_068_S_4431.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
082_S_2121,ROISignals_082_S_2121.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
082_S_6690,ROISignals_082_S_6690.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
094_S_2201,ROISignals_094_S_2201.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
094_S_2238,ROISignals_094_S_2238.mat,False,197,170,True,788,2.3529411764705883,0,0.0,0,0.0
098_S_6601,ROISignals_098_S_6601.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
098_S_6655,ROISignals_098_S_6655.mat,False,200,170,True,800,2.3529411764705883,0,0.0,0,0.0
